SUBJECT,START DATE,END DATE
Встреча с куратором  190925-wdm,19.9.2025 09:00,19.9.2025 10:30
Введение 1: Кто такой Front-end разработчик, языки программирования Bekov Astemir 190925-wdm,22.9.2025 09:00,22.9.2025 12:15
Введение 2: Базовая математика (умножение/деление/возведение в степень) Barbylev Ilya 190925-wdm,23.9.2025 09:00,23.9.2025 12:15
Компьютерная грамотность 1: Компьютеры и девайсы Andreev Vyacheslav 190925-wdm,23.9.2025 12:30,23.9.2025 14:00
Введение 3: Интернет и безопасность данных (GDPR) Andreev Vyacheslav 190925-wdm,24.9.2025 09:00,24.9.2025 12:15
Компьютерная грамотность 2: Монитор и клавиатура Andreev Vyacheslav 190925-wdm,24.9.2025 12:30,24.9.2025 14:00
Введение 4: Продвинутая математика Andreev Vyacheslav 190925-wdm,25.9.2025 09:00,25.9.2025 12:15
Компьютерная грамотность 3: Работа с папками и файлами Andreev Vyacheslav 190925-wdm,25.9.2025 12:30,25.9.2025 14:00
Введение 5: Подготовка к обучению (установка программ)  Andreev Vyacheslav 190925-wdm,26.9.2025 09:00,26.9.2025 12:15
Компьютерная грамотность 4: Интернет и Google-диск Andreev Vyacheslav 190925-wdm,26.9.2025 12:30,26.9.2025 14:00
Front-end 1.1 VS Code и настройка рабочей среды Bekov Astemir 190925-wdm,29.9.2025 09:00,29.9.2025 10:30
Front-end 1.2: Знакомство с HTML и CSS Bekov Astemir 190925-wdm,29.9.2025 10:45,29.9.2025 12:15
Linux & Git 1: Введение в Linux Andreev Vyacheslav 190925-wdm,29.9.2025 12:30,29.9.2025 14:00
Front-end 2.1: Стилизация: CSS классы, отступы, div Bekov Astemir 190925-wdm,30.9.2025 09:00,30.9.2025 10:30
Front-end 2.2: Структура проекта Bekov Astemir 190925-wdm,30.9.2025 10:45,30.9.2025 12:15
German: Занятие знакомство Mudrova Daria 190925-wdm,30.9.2025 12:30,30.9.2025 14:00
Front-end 3.1: Текстовые теги, списки Bekov Astemir 190925-wdm,1.10.2025 09:00,1.10.2025 10:30
Front-end 3.2: Формы, текстовые поля, кнопки Bekov Astemir 190925-wdm,1.10.2025 10:45,1.10.2025 12:15
Front-end 4.1: Единицы измерения Bekov Astemir 190925-wdm,1.10.2025 12:30,1.10.2025 14:00
Front-end 4.2: Адаптивность: media запросы Bekov Astemir 190925-wdm,2.10.2025 10:45,2.10.2025 12:15
Front-end 5: Practice Bekov Astemir 190925-wdm,2.10.2025 12:30,2.10.2025 14:00
Front-end 6: Summary Session 1 Bekov Astemir 190925-wdm,2.10.2025 09:00,2.10.2025 10:30
Front-end 7.1: Знакомство с flexbox Bekov Astemir 190925-wdm,6.10.2025 09:00,6.10.2025 10:30
Front-end 7.2: flex-grow, flex-shrink, flex-basis Bekov Astemir 190925-wdm,6.10.2025 10:45,6.10.2025 12:15
Linux & Git 2:  Первые команды Andreev Vyacheslav 190925-wdm,6.10.2025 12:30,6.10.2025 14:00
Front-end 8.1: Структура HTML-формы Bekov Astemir 190925-wdm,7.10.2025 09:00,7.10.2025 10:30
Front-end 8.2: Текстовые поля и валидация Bekov Astemir 190925-wdm,7.10.2025 10:45,7.10.2025 12:15
Front-end 9.1: Что такое позиционирование, относительное позиционирование Bekov Astemir 190925-wdm,8.10.2025 09:00,8.10.2025 10:30
Front-end 9.2: Абсолютное, фиксированное и sticky позиционирование Bekov Astemir 190925-wdm,8.10.2025 10:45,8.10.2025 12:15
Linux & Git 3:  Summary Session 1 Andreev Vyacheslav 190925-wdm,8.10.2025 12:30,8.10.2025 14:00
